Nationality
-
Afghan
AFGHAN
AFGHANISTAN
AFRICAN
African
ALBANIAN
Albanian
Algeria
ALGERIAN
Algerian
ALNIGER
AMERICAN
American
AMERICAN SAMOA
Andorran
ANGOLAN
Arabian
Australia
Australian
AUSTRIAN
AZERBAIJANI
BAHAMIAN
BAHRAINI
Bangladeshi
BANGLADESHI
BANGLADISHI
Barbadian
Belarusian
Belgian
Brazil
BRITISH
BURMESE
Cameroonian
CANADIAN
Canadian
Chad
Chadian
CHINESE
Chinese
DJIBOUTIAN
Do Not Use Sudani
DUTCH
EGYPTIAN
Egyptian
Emirati
ERITREAN
Eritrean
ERYTRIAN
Ethiopia
ETHIOPIA
ETHIOPIAN
Ethiopian
FIJIAN
Filipino
FILIPINO
FINLAND
Finnish
FRENCH
French
GAMBIAN
German
GERMANY
GHANAIAN
Greec
INDIAN
Indian
Indionisa
INDONESIA
Indonesian
INDONESIAN
Iraqi
IRELAND
Irish
Italian
Italy
Jordanian
JORDANIAN
JORDON
Kenya
KENYA
Kenyan
KUWAIT
KUWAITI
Kuwaiti
Lankan
Lebanen
Lebanese
LEBANESE
LEBANON (Lebanese)
Libyan
MALAYSIA
MALAYSIAN
Malaysian
MALDIVIAN
MALIAN
Martinican
MAURITANIA
MAURITANIAN
MAURITIAN
MOROCCAN
Moroccan
MYANMAR
NEPALESE
Nepali
NEPALI
New Zealand
NIGER
Nigeria
NIGERIAN
Nigerian
North Korean
NORTH YEMENI
Not in use
Omani
OTHER
Other
PAKISTANI
Pakistani
PALASTINIAN
Palauan
Palestine
PALESTINE
Palestinian
PALESTINIAN
Philippine
PHILIPPINES
PHILLIPINO
Portuguese
Qatari
QATARI
Romania
Samoan
Saudi
SAUDI
SAUDI ARABIA
SAUDI FOREIGN PASSPORT
SENEGAL
Senegalese
SIERRA LEONE
Sierra Leonean
Somali
Somalia
SOUTH AFRICAN
SPANISH
Spanish
SRI LANKAN
Sri Lankan
Sudan
SUDAN
SUDANESE
Sudanese
Surinamese
Svalbard and Jan Mayen
Swedish
SYRIAN
Syrian
TAIWANESE
Taiwanese
TUNISIAN
Turki
Turkish
TURKY
UGANDAN
WEST INDIAN
YEMEN
Yemen
Yemeni
YEMENI
ZAMBIAN
