Model,Accuracy,Precision,Recall,F1-Score,AUC,CV_Mean,CV_Std
Random Forest,0.9033,0.9938,0.6643,0.7963,0.8858,0.8978,0.0052
Gradient Boosting,0.9005,0.9775,0.6657,0.792,0.8797,0.8956,0.005
Logistic Regression,0.8966,0.9543,0.6685,0.7862,0.8771,0.8922,0.0043
SVM,0.9005,0.9717,0.6699,0.7931,0.8646,0.8931,0.0058
